Sl No,User Type,Power Transmit (dB),Distance (m),Pass Loss Exponent,Shadowing Effect,Power Received (dB),Label
1,PUE,18.845090077477188,183.45883125403046,4.419629129249564,2.610377633823239,6.230711212663621,PUE
2,PUE,25.115773949475994,486.77800242522875,5.190593331272543,-3.7546567849635384,7.41227508680587,PUE
3,PUE,21.72339865635888,174.6561733771734,2.675901907369558,-0.8291165916045772,14.894417780979396,PUE
4,PUE,12.417584309491062,288.2275102579029,5.171656983908757,-3.547998735161201,-3.851322342196431,PUE
5,PUE,27.928468241267957,362.27473471002685,2.296361168593748,-7.721311318946958,14.33068132202081,PUE
6,PUE,26.021869633888763,231.5389536506804,4.270758114792558,-9.757114299196395,6.166017914953194,PUE
7,PUE,12.21908040761307,130.3813773807703,1.9305543215549128,-0.4484310754578491,7.687110782661788,PUE
8,PUE,28.315050362722303,492.0516064948252,3.893409401207343,2.67868853698178,15.15526223703656,PUE
9,PUE,11.467574522370079,213.26449740182366,3.8547361495508286,3.5918027481844335,-1.1015948020246733,PUE
10,PUE,25.561838329767866,84.97121146826244,4.756724025750089,-0.7854229912835909,15.599401766675596,PUE
11,PUE,17.173829397514872,158.70979460256478,2.336912585222584,1.8193536506715555,10.211857196067156,PUE
12,PUE,28.492443998942644,220.41189299360124,4.109719480261514,-4.26403364530719,14.59837172665478,PUE
13,SU,17.626571229081733,215.27492367320474,3.7153221785742176,2.1291976777001858,6.829551266710414,SU
14,SU,17.601942879920287,240.06642829564942,3.9511252196960234,7.370010754432055,0.8269445768795851,SU
15,SU,17.799976596401187,104.3091159167176,4.110242419141172,-4.188840815599378,5.315341993722739,SU
16,SU,24.101700866049725,63.37626297659372,3.663662652865812,1.6080819987194837,15.891967580247627,SU
17,SU,21.024476001909697,88.04037392287456,2.6329091856116547,-1.2983235798092583,14.605981641342511,SU
18,SU,7.4807241368666455,98.35273975630587,2.4569937123716987,4.092335860752657,-1.5078755319010666,SU
19,SU,18.882646332375735,128.90973233677244,2.233526662847717,-4.059256172062206,10.110010768279663,SU
20,SU,17.831575380607816,223.3843995363049,4.935915562385827,4.9592614798170285,1.2775874305817538,SU
21,SU,10.995753513123379,151.43517915055438,3.264900237827748,-0.17622973482245308,3.701300859905383,SU
22,SU,15.829379966694926,272.7087994506834,2.5054044719360977,7.514923234533253,2.2120451857590915,SU
23,SU,5.463331659299602,228.53202758898942,4.274435442243061,-1.457260472448167,-6.07709578754524,SU
24,SU,5.9749531729219,47.63118793381276,3.1157252831672926,4.091149789070554,-3.3440453142300024,SU
25,SU,22.722699747202064,280.83083158129244,2.246366124570194,0.7725550639101684,16.450041258199263,SU
26,SU,8.151503362909,128.9296285682874,2.8014024396419406,-5.373114478298209,-3.1335584059530914,SU
27,SU,21.3186476708075,178.6960018470837,3.8198138729174094,-3.080243445055886,9.63574473298451,SU
28,SU,8.280188245869004,256.9507294752174,2.0903294646575477,3.6724716064930147,-0.4296635178719006,SU
29,SU,9.13321136954716,163.59620537170213,2.68380415272492,-0.8504060749679805,2.341471517573604,SU
30,SU,9.425004372446322,258.8168133150293,1.9976776047951894,3.260518049977321,1.3441052733525058,SU
31,SU,24.47239284872241,37.9153286707361,4.377914719165832,-2.4090454184571533,15.151430768884552,SU
32,SU,16.18873681565111,260.47120194090934,3.8371894340803667,-0.180143491552983,6.738865673928227,SU
